Your session has expired,A sua sessão expirou
In Stock Only,Somente em estoque
Only pull in products that are marked as 'In Stock',Retire apenas produtos marcados como 'Em estoque'
Featured Only,Destaque apenas
Only pull in products that are marked as 'Featured',Puxe apenas produtos marcados como 'Destaque'
Total Slides,Slides totais
Choose how many Slides should be created from the Flickr source,Escolha quantos slides devem ser criados a partir da fonte do Flickr
API Cache,Cache da API
Cache the Flickr API results for faster loading,Armazene em cache os resultados da API do Flickr para carregamento mais rápido
API Key,Chave API
Enter your Flickr API key.  <a href='http://weblizar.com/get-flickr-api-key/' target='_blank'>Learn more</a>,Digite sua chave de API do Flickr. <a href='http://weblizar.com/get-flickr-api-key/' target='_blank'>Saiba mais</a>
API Source,Origem da API
Choose which type of Flickr content should be pulled into the Slider,Escolha qual tipo de conteúdo do Flickr deve ser puxado para o Slider
User URL,User URL
Enter your Flickr user URL for the API query,Enter your Flickr user URL for the API query
Photoset,Photoset
Select the photo album you wish to include from the Flickr account,Select the photo album you wish to include from the Flickr account
Gallery URL,Gallery URL
Enter the absolute URL of the flickr gallery you wish to include,Enter the absolute URL of the flickr gallery you wish to include
Group URL,Group URL
Enter the absolute URL of the flickr group irl you wish to include,Enter the absolute URL of the flickr group irl you wish to include
Choose how many Slides should be created from the Instagram source,Choose how many Slides should be created from the Instagram source
Cache the Instagram API results for faster loading,Cache the Instagram API results for faster loading
Choose which type of Instagram content should be pulled into the Slider,Choose which type of Instagram content should be pulled into the Slider
Enter your Instagram User Name for the API query,Enter your Instagram User Name for the API query
Choose how many Slides should be created from the Twitter source,Choose how many Slides should be created from the Twitter source
Cache the Twitter API results for faster loading,Cache the Twitter API results for faster loading
User Handle,User Handle
Enter your Twitter User Name/Handle for the API query,Enter your Twitter User Name/Handle for the API query
Text Tweets,Text Tweets
Include text-only Tweets (tweets that do not contain an image),Include text-only Tweets (tweets that do not contain an image)
Re-Tweets,Re-Tweets
Include both tweets and re-tweets in the Slider,Include both tweets and re-tweets in the Slider
Replies,Replies
Include both tweets and replies in the Slider,Include both tweets and replies in the Slider
Consumer Key,Consumer Key
Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Consumer Key,Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Consumer Key
Consumer Secret,Consumer Secret
Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Consumer Secret,Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Consumer Secret
Access Token,Access Token
Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Access Token,Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Access Token
Access Secret,Access Secret
Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Access Secret,Your <a href='https://dev.twitter.com/apps' target='_blank'>Twitter App's</a> Access Secret
Choose how many Slides should be created from the Facebook source,Choose how many Slides should be created from the Facebook source
Cache the Facebook API results for faster loading,Cache the Facebook API results for faster loading
Source,Source
Choose which type of Facebook content should be pulled into the Slider,Choose which type of Facebook content should be pulled into the Slider
Album,Album
Choose the Facebook Album to be pulled into the Slider,Choose the Facebook Album to be pulled into the Slider
<a href='https://www.themepunch.com/faq/facebook-stream-setup-instructions-access-token/' target='_blank'>Generate</a> a Facebook Access Token with the needed permissions,<a href='https://www.themepunch.com/faq/facebook-stream-setup-instructions-access-token/' target='_blank'>Generate</a> a Facebook Access Token with the needed permissions
App Secret,App Secret
Your <a href='https://developers.facebook.com/docs/apps/register' target='_blank'>Facebook App's</a> App Secret,Your <a href='https://developers.facebook.com/docs/apps/register' target='_blank'>Facebook App's</a> App Secret
Choose how many Slides should be created from the YouTube source,Choose how many Slides should be created from the YouTube source
Cache the YouTube API results for faster loading,Cache the YouTube API results for faster loading
Enter your YouTube API key.  <a href='https://developers.google.com/youtube/v3/getting-started#before-you-start' target='_blank'>Learn more</a>,Enter your YouTube API key.  <a href='https://developers.google.com/youtube/v3/getting-started#before-you-start' target='_blank'>Learn more</a>
Channel ID,Channel ID
Enter the channel ID of the YouTube account,Enter the channel ID of the YouTube account
Choose to include videos from a YouTube Playlist or Channel,Choose to include videos from a YouTube Playlist or Channel
Playlist,Playlist
Choose the playlist to pull in from the YouTube account,Choose the playlist to pull in from the YouTube account
Choose how many Slides should be created from the Vimeo source,Choose how many Slides should be created from the Vimeo source
Cache the Vimeo API results for faster loading,Cache the Vimeo API results for faster loading
Page URL,Page URL
Choose which type of Vimeo content should be pulled into the Slider,Choose which type of Vimeo content should be pulled into the Slider
User/Album/Group/Channel,User/Album/Group/Channel
"Enter the username, album ID, group name or channel name of the Vimeo account to use as the stream","Enter the username, album ID, group name or channel name of the Vimeo account to use as the stream"
Slider ID,Slider ID
Add an optional ID for the Slider.  Will be applied to the Slider's outer HTML wrapper element,Add an optional ID for the Slider.  Will be applied to the Slider's outer HTML wrapper element
Slider Classes,Slider Classes
Wrapper Classes,Wrapper Classes
Slide Duration,Slide Duration
The default duration to apply for each Slide before they change,The default duration to apply for each Slide before they change
Initialization Delay,Initialization Delay
Add an optional delay before the Slider officially loads,Add an optional delay before the Slider officially loads
Layers Selectable,Layers Selectable
Choose if Layers should be user-selectable by default,Choose if Layers should be user-selectable by default
The default transition to be applied to newly created Slides,The default transition to be applied to newly created Slides
Transition Duration,Transition Duration
The default transition duration to be applied to newly created Slides,The default transition duration to be applied to newly created Slides
Default Image Size,Default Image Size
The default WordPress Image size to be used for the Slide's main  background images,The default WordPress Image size to be used for the Slide's main  background images
Default BG Position,Default BG Position
The default CSS background-position for the Slide's main background image,The default CSS background-position for the Slide's main background image
Default Image Fit,Default Image Fit
The default css background-size value for the Slide's main background image,The default css background-size value for the Slide's main background image
Default BG Repeat,Default BG Repeat
The default css background-repeat value for the Slide's main background image,The default css background-repeat value for the Slide's main background image
Intelligent Inheriting,Intelligent Inheriting
Automatically resize/reposition new Layers for each device viewport inside the editor,Automatically resize/reposition new Layers for each device viewport inside the editor
Responsive Between Devices,Responsive Between Devices
Automatically resize Layers for each responsive device viewport,Automatically resize Layers for each responsive device viewport
Responsive Offsets,Responsive Offsets
Automatically adjust the positioning for Layers for each responsive device viewport,Automatically adjust the positioning for Layers for each responsive device viewport
Responsive Children,Responsive Children
Choose to resize the Layer's inner HTML elements if the Layer includes custom HTML,Choose to resize the Layer's inner HTML elements if the Layer includes custom HTML
Enable PanZoom,Enable PanZoom
Enable the PanZoom effect by default for newly created Slides,Enable the PanZoom effect by default for newly created Slides
Easing,Easing
The default easing equation.  <a href='https://greensock.com/ease-visualizer' target=_'blank'>View visualization</a>,The default easing equation.  <a href='https://greensock.com/ease-visualizer' target=_'blank'>View visualization</a>
The default easing duration in milliseconds,The default easing duration in milliseconds
Zoom Start Percentage,Zoom Start Percentage
The default starting zoom percentage,The default starting zoom percentage
Zoom End Percentage,Zoom End Percentage
The default ending zoom percentage,The default ending zoom percentage
Start Position X,Start Position X
The default starting x position for the PanZoom movement,The default starting x position for the PanZoom movement
End Position X,End Position X
The default end x position for the PanZoom movement,The default end x position for the PanZoom movement
Start Position Y,Start Position Y
The default starting y position for the PanZoom movement,The default starting y position for the PanZoom movement
End Position Y,End Position Y
The default ending y position for the PanZoom movement,The default ending y position for the PanZoom movement
Rotate Start,Rotate Start
The default starting rotation for the PanZoom effect (deg),The default starting rotation for the PanZoom effect (deg)
Rotate End,Rotate End
The default ending rotation for the PanZoom effect (deg),The default ending rotation for the PanZoom effect (deg)
Blur Start,Blur Start
The default starting image blur for the PanZoom effect (px),The default starting image blur for the PanZoom effect (px)
Blur End,Blur End
The default ending image blur for the PanZoom effect (px),The default ending image blur for the PanZoom effect (px)
Enable Viewport Stop,Enable Viewport Stop
Only initialize the Slider when the Slider is inside the page's view,Only initialize the Slider when the Slider is inside the page's view
Wait/Pause,Wait/Pause
"'wait' to initialize the Slider when its inside the viewport, or 'pause' the Slider's progress until its inside the viewport","'wait' to initialize the Slider when its inside the viewport, or 'pause' the Slider's progress until its inside the viewport"
Area %,Area %
Initialize/Pause the Slider when its inside this percentage of the page's viewport,Initialize/Pause the Slider when its inside this percentage of the page's viewport
Preset Slider Height,Preset Slider Height
Allocate space on the page for the Slider to prevent page content jumps when the Slider loads,Allocate space on the page for the Slider to prevent page content jumps when the Slider loads
Auto Rotate Slideshow,Auto Rotate Slideshow
Enable autoplay for the Slider to automatically change between slides,Enable autoplay for the Slider to automatically change between slides
Stop on Hover,Stop on Hover
Pause the Slider's progress when the user hover's their mouse over it,Pause the Slider's progress when the user hover's their mouse over it
Loop Single Slide,Loop Single Slide
Continuously loop a Slide's animations when the Slider contains only one slide,Continuously loop a Slide's animations when the Slider contains only one slide
Stop Slider Progress,Stop Slider Progress
Chose when the Slider's progress should stop/pause,Chose when the Slider's progress should stop/pause
Stop After Loops,Stop After Loops
Stop the slider's progress after a set amount of loops,Stop the slider's progress after a set amount of loops
Stop at Slide,Stop at Slide
Stop the slider's progress when a certain Slide is viewed,Stop the slider's progress when a certain Slide is viewed
Random Order,Random Order
Randomize the Slide order each time the Slider is viewed,Randomize the Slide order each time the Slider is viewed
Wait for API,Wait for API
Only start the Slider when the JavaScript API's 'revstart()' method is called,Only start the Slider when the JavaScript API's 'revstart()' method is called
Disable Slider on Mobile,Disable Slider on Mobile
When the Slider is disabled on mobile it will only be loaded on desktop-based devices,When the Slider is disabled on mobile it will only be loaded on desktop-based devices
Disable PanZoom on Mobile,Disable PanZoom on Mobile
Disable the PanZoom effect for mobile devices,Disable the PanZoom effect for mobile devices
Hide Slider Under Width,Hide Slider Under Width
Hide the Slider under a certain window width,Hide the Slider under a certain window width
Hide Marked Layers,Hide Marked Layers
Individual Layers that are selected to be hidden under a width will be hidden under this number,Individual Layers that are selected to be hidden under a width will be hidden under this number
Hide All Layers Under,Hide All Layers Under
Hide all Layers under when the window is below this number,Hide all Layers under when the window is below this number
Alternate First Slide,Alternate First Slide
Show a specific Slide first when the Slider first loads,Show a specific Slide first when the Slider first loads
Slide to Show First,Slide to Show First
Show slide number 'x' first when the Slider first loads,Show slide number 'x' first when the Slider first loads
First Slide Animation,First Slide Animation
Use an alternate transition when for the first slide when the Slider firsts loads,Use an alternate transition when for the first slide when the Slider firsts loads
First Slide Transition Type,First Slide Transition Type
Choose an alternate transition for the first Slide,Choose an alternate transition for the first Slide
First Slide Transition Duration,First Slide Transition Duration
The duration to be used for the alternate first Slide transition,The duration to be used for the alternate first Slide transition
Slot Amount,Slot Amount
The amount of slots to be used for the alternate first Slide transition.  Applicable to slot-based transitions.,The amount of slots to be used for the alternate first Slide transition.  Applicable to slot-based transitions.
Next Slide on Focus,Next Slide on Focus
Change slides when the user navigates to a new window or tab and then returns to the page,Change slides when the user navigates to a new window or tab and then returns to the page
Disable Blur/Focus behavior,Disable Blur/Focus behavior
Disable Slider resizing when the user navigates away from the tab/window and returns to the page,Disable Slider resizing when the user navigates away from the tab/window and returns to the page
Infinity Scroll,Infinity Scroll
Slides will continuously appear from either side when the Slides change,Slides will continuously appear from either side when the Slides change
Layers Visible,Layers Visible
Layers from Slides that are visible in the carousel will always be visible by default (Layer animations will be disabled),Layers from Slides that are visible in the carousel will always be visible by default (Layer animations will be disabled)
Max Visible Slides,Max Visible Slides
The maximum number of Slides that will be visible at any given time.  View the documentation below to learn how to set a minimum.,The maximum number of Slides that will be visible at any given time.  View the documentation below to learn how to set a minimum.
Stretch Slides,Stretch Slides
"Slides will always appear as full width, resulting in one Slide being visible at a time","Slides will always appear as full width, resulting in one Slide being visible at a time"
Border Radius,Border Radius
Add a CSS border-radius to the carousel items (px),Add a CSS border-radius to the carousel items (px)
Item Spacing,Item Spacing
Define the spacing between the carousel items (px),Define the spacing between the carousel items (px)
Padding Top,Padding Top
Define the CSS padding-top for the carousel items (px),Define the CSS padding-top for the carousel items (px)
Padding Bottom,Padding Bottom
Define the CSS padding-bottom for the carousel items (px),Define the CSS padding-bottom for the carousel items (px)
Horizontal Align,Horizontal Align
Decide how the items should be aligned horizontally inside the Slide container,Decide how the items should be aligned horizontally inside the Slide container
Vertical Align,Vertical Align
Decide how the items should be aligned vertically inside the Slide container,Decide how the items should be aligned vertically inside the Slide container
The easing equation for when the carousel changes from one Slide to the next,The easing equation for when the carousel changes from one Slide to the next
Speed,Speed
The speed the items will change form one Slide to the next (in milliseconds),The speed the items will change form one Slide to the next (in milliseconds)
Fade Items,Fade Items
Apply opacity to the non-activate Slides,Apply opacity to the non-activate Slides
Varying Fade,Varying Fade
Apply varying opacity to the non-activate Slides in staggered order,Apply varying opacity to the non-activate Slides in staggered order
Enable 3D Rotation,Enable 3D Rotation
Apply a 3D rotation to the non-active items,Apply a 3D rotation to the non-active items
Rotation Degrees,Rotation Degrees
The degree value for the 3D rotation applied to the non-active items,The degree value for the 3D rotation applied to the non-active items
Varying Rotation,Varying Rotation
Apply varying rotations to the non-activate Slides in staggered order,Apply varying rotations to the non-activate Slides in staggered order
Enable Scaling,Enable Scaling
Zoom the non-active items by a certain percentage,Zoom the non-active items by a certain percentage
Scale Percentage,Scale Percentage
Zoom the non-active items by this percentage,Zoom the non-active items by this percentage
Varing Scale,Varing Scale
Apply varying scale/zooms to the non-activate Slides in staggered order,Apply varying scale/zooms to the non-activate Slides in staggered order
Spinner / Preloader,Spinner / Preloader
Display a spinner animation when the Module first loads,Display a spinner animation when the Module first loads
Spinner Color,Spinner Color
The color of the spinner/preloader that shows before the Module first loads,The color of the spinner/preloader that shows before the Module first loads
Enable Parallax/3D Effects,Enable Parallax/3D Effects
Enable the special effects engine for the Slider,Enable the special effects engine for the Slider
Enable 3D Effects,Enable 3D Effects
Enable the Parallax/3D effect engine for the Slider,Enable the Parallax/3D effect engine for the Slider
Disable Parallax/3D on Mobile,Disable Parallax/3D on Mobile
Disable the Parallax/3D effects for mobile devices,Disable the Parallax/3D effects for mobile devices
"Choose if the Parallax/3D effects should happen on mouse move, page scroll or both","Choose if the Parallax/3D effects should happen on mouse move, page scroll or both"
Parallax Origin,Parallax Origin
"Choose if the origin point for the effect should be the Layer's center, or based on where the user first hovered their mouse over the element","Choose if the origin point for the effect should be the Layer's center, or based on where the user first hovered their mouse over the element"
Mouse Speed,Mouse Speed
The sensitivity speed for the Parallax effect(s) on mouse-move,The sensitivity speed for the Parallax effect(s) on mouse-move
Background Image Speed,Background Image Speed
The movement speed for the Slide's main background when the effect(s) occur,The movement speed for the Slide's main background when the effect(s) occur
Layers Speed,Layers Speed
The movement speed for the Slide's Layers when the effect(s) occur,The movement speed for the Slide's Layers when the effect(s) occur
3D Shadow,3D Shadow
Apply a box-shadow to the 3D element to enhance the effect,Apply a box-shadow to the 3D element to enhance the effect
Background Enabled,Background Enabled
Choose if the Slide's main background image should be included for the 3D effect,Choose if the Slide's main background image should be included for the 3D effect
Slide BG Overflow Hidden,Slide BG Overflow Hidden
Choose if the Slider's main background can bleed outside the Slider's bounding box when skewed in 3D space,Choose if the Slider's main background can bleed outside the Slider's bounding box when skewed in 3D space
Layers Overflow Hidden,Layers Overflow Hidden
Choose if Slide Layers can bleed outside the Slider's bounding box when skewed in 3D space,Choose if Slide Layers can bleed outside the Slider's bounding box when skewed in 3D space
3D Crop Fix,3D Crop Fix
Applies a translateZ to the 3D elements to help avoid overlapping,Applies a translateZ to the 3D elements to help avoid overlapping
BG 3D Depth,BG 3D Depth
The 3D depth level for the Slide's main background,The 3D depth level for the Slide's main background
Parallax Depths,Parallax Depths
"Define a depth for each of the 15 options, which can then be assigned to any given Layer","Define a depth for each of the 15 options, which can then be assigned to any given Layer"
Timeline Scroll Effects,Timeline Scroll Effects
The Slide's content will animate into and out of view as the user scrolls the page.,The Slide's content will animate into and out of view as the user scrolls the page.
Animation Easing,Animation Easing
The easing equation to be applied to the animated content as the page scrolls,The easing equation to be applied to the animated content as the page scrolls
Animation Speed,Animation Speed
The speed at which the content will animate as the page scrolls (in milliseconds),The speed at which the content will animate as the page scrolls (in milliseconds)
Animate Layers on Scroll,Animate Layers on Scroll
Animate the Layer's by default on Scroll (can then be turned off per Layer in the Layer settings),Animate the Layer's by default on Scroll (can then be turned off per Layer in the Layer settings)
Scroll Effects,Scroll Effects
Apply special effects to your content when the page is scrolled,Apply special effects to your content when the page is scrolled
Fade the Slider out when  it scrolls into and out of view,Fade the Slider out when  it scrolls into and out of view
GrayScale,GrayScale
Apply a black and white filter to the Slider when it scrolls into and out of view,Apply a black and white filter to the Slider when it scrolls into and out of view
Blur,Blur
Apply a blur filter to the Slider when it scrolls into and out of view,Apply a blur filter to the Slider when it scrolls into and out of view
Blur Value,Blur Value
The blur filter strength for the Blur scroll effect (px),The blur filter strength for the Blur scroll effect (px)
Apply the effect(s) to all Layers,Apply the effect(s) to all Layers
Parallax Layers,Parallax Layers
Apply the effect(s) to all Parallax Layers,Apply the effect(s) to all Parallax Layers
Slide Background,Slide Background
Apply the effect(s) to the Slide's main background,Apply the effect(s) to the Slide's main background
Static/Global Layers,Static/Global Layers
Apply the effect(s) to the Slide's Static/Global Layers,Apply the effect(s) to the Slide's Static/Global Layers
Static/Global Parallax Layers,Static/Global Parallax Layers
Apply the effect(s) to the Slide's Static/Global Parallax Layers,Apply the effect(s) to the Slide's Static/Global Parallax Layers
Scroll Direction,Scroll Direction
"Apply the effect(s) when the page is scrolled from the top, bottom, or both directions","Apply the effect(s) when the page is scrolled from the top, bottom, or both directions"
Disable on Mobile,Disable on Mobile
Disable the effects on mobile devices,Disable the effects on mobile devices
Offset Tilt,Offset Tilt
The percentage the Slider is in the page's viewport before the effect(s) are applied,The percentage the Slider is in the page's viewport before the effect(s) are applied
BG Strength,BG Strength
"The strength of the opacity, blur or grayscale filter for the effect(s) for the Slide's main background","The strength of the opacity, blur or grayscale filter for the effect(s) for the Slide's main background"
Layers Strength,Layers Strength
"The strength of the opacity, blur or grayscale filter for the effect(s) for the Slide's Layers","The strength of the opacity, blur or grayscale filter for the effect(s) for the Slide's Layers"
Lazy Loading,Lazy Loading
"Choose 'All' to LazyLoad all images in the Slider when the Slider first loads, 'Smart' to only LazyLoad the prev/next Slide's images, and 'Single' to only LazyLoad the current Slide's images.","Choose 'All' to LazyLoad all images in the Slider when the Slider first loads, 'Smart' to only LazyLoad the prev/next Slide's images, and 'Single' to only LazyLoad the current Slide's images."
Device Pixel Ratio,Device Pixel Ratio
"Allows to use higher DPR on 4k, 5k , Retina displays.  Higher Maximum value can have negativ influence on complex Canvas animations. Lower Value can have negative influence on Image Quality on 4K+ Devices. In cae animations or Pan Zoom are not smooth, try lower DPR, and incase BG Image blurry, try higher DPR.","Allows to use higher DPR on 4k, 5k , Retina displays.  Higher Maximum value can have negativ influence on complex Canvas animations. Lower Value can have negative influence on Image Quality on 4K+ Devices. In cae animations or Pan Zoom are not smooth, try lower DPR, and incase BG Image blurry, try higher DPR."
Simplify on IOS4/IE8,Simplify on IOS4/IE8
Simplify Animations for better compatibility with IOS4/IE8,Simplify Animations for better compatibility with IOS4/IE8
Alternative Image,Alternative Image
"Show a simple image instead of the Slider on mobile, IE8 or both","Show a simple image instead of the Slider on mobile, IE8 or both"
Alternative Image URL,Alternative Image URL
The url for the fallback image if a fallback is used for IE8/Mobile,The url for the fallback image if a fallback is used for IE8/Mobile
jQuery No Conflict Mode,jQuery No Conflict Mode
Call jQuery.noConflict() to help avoid conflicts with other themes/plugins,Call jQuery.noConflict() to help avoid conflicts with other themes/plugins
Put JS to Body,Put JS to Body
Load the Slider's JS files in the page's body to help resolve conflicts,Load the Slider's JS files in the page's body to help resolve conflicts
Output Filter Protection,Output Filter Protection
Useful for solving a conflict when the current theme runs filters over the page's main content,Useful for solving a conflict when the current theme runs filters over the page's main content
Debug Mode,Debug Mode
Display debug information on the Slider to help show issues during development,Display debug information on the Slider to help show issues during development
Custom CSS,Custom CSS
Add your own custom CSS to the Slider,Add your own custom CSS to the Slider
Custom JavaScript,Custom JavaScript
Add your own custom JavaScript to the Slider,Add your own custom JavaScript to the Slider
Slider API,Slider API
Slider Revolution API methods and events,Slider Revolution API methods and events
Modal Horizontal Alignment,Modal Horizontal Alignment
Choose how the Module should be horizontally aligned to the page when loaded as a Modal,Choose how the Module should be horizontally aligned to the page when loaded as a Modal
Modal Vertical Alignment,Modal Vertical Alignment
Choose how the Module should be vertically aligned to the page when loaded as a Modal,Choose how the Module should be vertically aligned to the page when loaded as a Modal
Use Cover as Modal,Use Cover as Modal
Include a background cover when the Module is loaded as a Modal,Include a background cover when the Module is loaded as a Modal
The background color to be applied when the Module loads as a Modal,The background color to be applied when the Module loads as a Modal
Body Class,Body Class
Add an optional class name to the page's body element when the Module is loaded as a Modal,Add an optional class name to the page's body element when the Module is loaded as a Modal
Module Shortcode,Module Shortcode
A special shortcode for the Module when loading it as a Modal in the page with <a href='#'>custom JavaScript</a>,A special shortcode for the Module when loading it as a Modal in the page with <a href='#'>custom JavaScript</a>
Enable Progress Bar,Enable Progress Bar
Add a progress bar to the Slider to display a visual representation of each Slide's timeline,Add a progress bar to the Slider to display a visual representation of each Slide's timeline
Progress Bar Color,Progress Bar Color
Adjust the color for the progress bar,Adjust the color for the progress bar
Progress Bar Position,Progress Bar Position
Choose if the progress bar should appear at the top or bottom of the Slider,Choose if the progress bar should appear at the top or bottom of the Slider
Progress Bar Height,Progress Bar Height
The height of the progress bar in pixels,The height of the progress bar in pixels
Enable Arrows,Enable Arrows
Enable left/right Arrows for the Slider's navigation,Enable left/right Arrows for the Slider's navigation
Arrows Type/Style,Arrows Type/Style
Choose a predefined style for the Arrows navigation,Choose a predefined style for the Arrows navigation
Align By Slider/Content,Align By Slider/Content
"Choose 'Slider' to align based on the Slider's full display, or 'Content' to align against the Slider's grid area","Choose 'Slider' to align based on the Slider's full display, or 'Content' to align against the Slider's grid area"
Alignment,Alignment
The Arrow's alignment position in the Slider before any offset(s) are applied,The Arrow's alignment position in the Slider before any offset(s) are applied
Offset X,Offset X
Offset the Arrow's horizontal position by this amount.  Accepts positive and negative values.,Offset the Arrow's horizontal position by this amount.  Accepts positive and negative values.
Offset Y,Offset Y
Offset the Arrow's vertical position by this amount.  Accepts positive and negative values.,Offset the Arrow's vertical position by this amount.  Accepts positive and negative values.
Arrows Animation,Arrows Animation
Optionally animate the arrows into and out of view when the slider first loads and on mouse hover,Optionally animate the arrows into and out of view when the slider first loads and on mouse hover
Right to Left,Right to Left
Use RTL language alignment for the Arrow positioning,Use RTL language alignment for the Arrow positioning
Arrows Animation Speed,Arrows Animation Speed
The animation speed for when the Arrows animate into and out of view,The animation speed for when the Arrows animate into and out of view
Arrows Show Delay,Arrows Show Delay
A delay in milliseconds before the Arrows animate into view,A delay in milliseconds before the Arrows animate into view
Hide After,Hide After
Auto-hide the arrows after a set amount of time (will be shown again when the user hovers/taps the Slider),Auto-hide the arrows after a set amount of time (will be shown again when the user hovers/taps the Slider)
Hide After: Desktop,Hide After: Desktop
The amount of the time before the Arrows are hidden on Desktop computers (in milliseconds),The amount of the time before the Arrows are hidden on Desktop computers (in milliseconds)
Hide After: Mobile,Hide After: Mobile
The amount of the time before the Arrows are hidden on mobile devices (in milliseconds),The amount of the time before the Arrows are hidden on mobile devices (in milliseconds)
Hide Under,Hide Under
Hide the Arrows when the browser window is equal to or below a certain number,Hide the Arrows when the browser window is equal to or below a certain number
Hide Under Limit,Hide Under Limit
Hide the Arrows when the browser window is equal to or below this number,Hide the Arrows when the browser window is equal to or below this number
Hide Over,Hide Over
Hide the Arrows when the browser window is equal to or above a certain number,Hide the Arrows when the browser window is equal to or above a certain number
Hide Over Limit,Hide Over Limit
Hide the Arrows when the browser window is equal to or above this number,Hide the Arrows when the browser window is equal to or above this number
Enable Bullets,Enable Bullets
Enable Bullets for the Slider's navigation,Enable Bullets for the Slider's navigation
Bullets Type/Style,Bullets Type/Style
Choose a predefined style for the Bullets navigation,Choose a predefined style for the Bullets navigation
Gap/Spacing,Gap/Spacing
The spacing between the bullets (in pixels),The spacing between the bullets (in pixels)
Orientation,Orientation
Display the bullets next to one another (horizontal) or on top of one another (vertical),Display the bullets next to one another (horizontal) or on top of one another (vertical)
The Bullet's alignment position in the Slider before any offset(s) are applied,The Bullet's alignment position in the Slider before any offset(s) are applied
Offset the Bullet's horizontal position by this amount.  Accepts positive and negative values.,Offset the Bullet's horizontal position by this amount.  Accepts positive and negative values.
Offset the Bullet's vertical position by this amount.  Accepts positive and negative values.,Offset the Bullet's vertical position by this amount.  Accepts positive and negative values.
Bullets Animation,Bullets Animation
Optionally animate the bullets into and out of view when the slider first loads and on mouse hover,Optionally animate the bullets into and out of view when the slider first loads and on mouse hover
Bullets Animation Speed,Bullets Animation Speed
The animation speed for when the Bullets animate into and out of view,The animation speed for when the Bullets animate into and out of view
Bullets Show Delay,Bullets Show Delay
A delay in milliseconds before the Bullets animate into view,A delay in milliseconds before the Bullets animate into view
Auto-hide the bullets after a set amount of time (will be shown again when the user hovers/taps the Slider),Auto-hide the bullets after a set amount of time (will be shown again when the user hovers/taps the Slider)
The amount of the time before the Bullets are hidden on Desktop computers (in milliseconds),The amount of the time before the Bullets are hidden on Desktop computers (in milliseconds)
The amount of the time before the Bullets are hidden on mobile devices (in milliseconds),The amount of the time before the Bullets are hidden on mobile devices (in milliseconds)
Hide the Bullets when the browser window is equal to or below a certain number,Hide the Bullets when the browser window is equal to or below a certain number
Hide the Bullets when the browser window is equal to or below this number,Hide the Bullets when the browser window is equal to or below this number
Hide the Bullets when the browser window is equal to or above a certain number,Hide the Bullets when the browser window is equal to or above a certain number
Hide the Bullets when the browser window is equal to or above this number,Hide the Bullets when the browser window is equal to or above this number
CSS Styling,CSS Styling
Adjust the size colors and other styles for the bullets,Adjust the size colors and other styles for the bullets
Use Custom Style,Use Custom Style
Enable custom styling overrides for the bullets,Enable custom styling overrides for the bullets
Enable Tabs,Enable Tabs
Enable Tabs for the Slider's navigation,Enable Tabs for the Slider's navigation
Tabs Type/Style,Tabs Type/Style
Choose a predefined style for the Tabs navigation,Choose a predefined style for the Tabs navigation
Display the tabs next to one another (horizontal) or on top of one another (vertical),Display the tabs next to one another (horizontal) or on top of one another (vertical)
Inner/Outer,Inner/Outer
Choose if the tabs should appear inside or outside the Slider's main content area,Choose if the tabs should appear inside or outside the Slider's main content area
The Tab's alignment position in the Slider before any offset(s) are applied,The Tab's alignment position in the Slider before any offset(s) are applied
Offset the Tab's horizontal position by this amount.  Accepts positive and negative values.,Offset the Tab's horizontal position by this amount.  Accepts positive and negative values.
Offset the Tab's vertical position by this amount.  Accepts positive and negative values.,Offset the Tab's vertical position by this amount.  Accepts positive and negative values.
Num. Tabs,Num. Tabs
The maximum number of tabs that should be visible regardless of the screen size,The maximum number of tabs that should be visible regardless of the screen size
Spacing,Spacing
The space between each individual tab (in pixels),The space between each individual tab (in pixels)
Width,Width
The default width for each individual tab,The default width for each individual tab
Minimum Width,Minimum Width
The minimum width for each individual tab,The minimum width for each individual tab
Height,Height
The default height for each individual tab,The default height for each individual tab
Color,Color
The background color for the tabs main wrapper,The background color for the tabs main wrapper
Padding,Padding
The CSS padding that will be applied to the tabs outer wrapper div,The CSS padding that will be applied to the tabs outer wrapper div
Span/Full-Width,Span/Full-Width
Choose if the wrapper should be displayed as a block or an inline-block,Choose if the wrapper should be displayed as a block or an inline-block
Tabs Animation,Tabs Animation
Optionally animate the tabs into and out of view when the slider first loads and on mouse hover,Optionally animate the tabs into and out of view when the slider first loads and on mouse hover
Tabs Animation Speed,Tabs Animation Speed
The animation speed for when the Tabs animate into and out of view,The animation speed for when the Tabs animate into and out of view
Tabs Show Delay,Tabs Show Delay
A delay in milliseconds before the Tabs animate into view,A delay in milliseconds before the Tabs animate into view
